"Transaction Date","Revenue Location ID","Revenue Location Name","Transaction Location ID","Transaction Location Name","Payment Type","Product ID","Product Name","Amount","Account ID","Account Name","Batch/Deposit Date","Batch ID","Deposit ID","Revenue Note"
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8136","BEVERAGES-COFFEE CUP - 8OZ.","0.10","2000.1601.000211940","sales tax payable","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8136","BEVERAGES-COFFEE CUP - 8OZ.","1.41","3000.1601.434150004","PFR Revenues-Other","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8154","BEVERAGES-WATER, GALLON DRINKING","0.13","2000.1601.000211940","sales tax payable","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8154","BEVERAGES-WATER, GALLON DRINKING","1.86","3000.1601.434150004","PFR Revenues-Other","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8190","CABE FLYTRAP DECAL","0.13","2000.1601.000211940","sales tax payable","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8190","CABE FLYTRAP DECAL","1.87","3000.1601.434150004","PFR Revenues-Other","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8324","FIREWOOD","1.38","2000.1601.000211940","sales tax payable","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8324","FIREWOOD","19.62","3000.1601.434150004","PFR Revenues-Other","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8379","FOOD-ICE","0.13","2000.1601.000211940","sales tax payable","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8379","FOOD-ICE","1.87","3000.1601.434150004","PFR Revenues-Other","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8388","FOOD-ICE CREAM, BIG VANILLA SANDWICH, BLUE BUNNY","0.10","2000.1601.000211940","sales tax payable","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","8388","FOOD-ICE CREAM, BIG VANILLA SANDWICH, BLUE BUNNY","1.40","3000.1601.434150004","PFR Revenues-Other","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","23401","BIRDS OF NC, SC, & GA","0.46","2000.1601.000211940","sales tax payable","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","23401","BIRDS OF NC, SC, & GA","6.50","3000.1601.434150004","PFR Revenues-Other","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","83602","SAND DIPPER/ HIKING POLE","1.44","2000.1601.000211940","sales tax payable","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","83602","SAND DIPPER/ HIKING POLE","20.56","3000.1601.434150004","PFR Revenues-Other","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","85452","VC Stuffed Animals","0.46","2000.1601.000211940","sales tax payable","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","85452","VC Stuffed Animals","6.54","3000.1601.434150004","PFR Revenues-Other","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","90402","VC Painted Bunting Pin","0.28","2000.1601.000211940","sales tax payable","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","90402","VC Painted Bunting Pin","3.97","3000.1601.434150004","PFR Revenues-Other","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","96055","NC STATE PARKS ANNUAL PASS","90.00","3000.1601.434410001","Dock rental fees","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","99007","BEVERAGES - DIET SUNDROP","0.10","2000.1601.000211940","sales tax payable","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","99007","BEVERAGES - DIET SUNDROP","1.40","3000.1601.434150004","PFR Revenues-Other","03/16/2020","","287130119",""
"03/14/2020","12802806","Carolina Beach State Park","12802806","Carolina Beach State Park","CASH","99753","BEVERAGES - MINUTE MAID LEMONDADE","0.10","2000.1601.000211940","sales tax payable","03/16/2020","","287130119",""
