Transaction Date,Revenue Location ID,Revenue Location Name,Transaction Location ID,Transaction Location Name,Payment Type,Product ID,Product Name,Amount,Account ID,Account Name,Batch/Deposit Date,Batch ID,Deposit ID,Revenue Note
3/23/2022,12802806,Carolina Beach State Park,12802806,Carolina Beach State Park,CASH,8379,FOOD-ICE,0.2,2000.1601.000211940,sales tax payable,3/24/2022,,352374633,
3/23/2022,12802806,Carolina Beach State Park,12802806,Carolina Beach State Park,CASH,8379,FOOD-ICE,2.8,3000.1601.434150004,PFR Revenues-Other,3/24/2022,,352374633,
3/23/2022,12802806,Carolina Beach State Park,12802806,Carolina Beach State Park,CASH,8678,SHRIMP 8OZ.,0.33,2000.1601.000211940,sales tax payable,3/24/2022,,352374633,
3/23/2022,12802806,Carolina Beach State Park,12802806,Carolina Beach State Park,CASH,8678,SHRIMP 8OZ.,4.67,3000.1601.434150004,PFR Revenues-Other,3/24/2022,,352374633,
3/23/2022,12802806,Carolina Beach State Park,12802806,Carolina Beach State Park,CASH,114452,"JUST HIKE IT, RECTANGLE CABE STICKER",0.43,2000.1601.000211940,sales tax payable,3/24/2022,,352374633,
3/23/2022,12802806,Carolina Beach State Park,12802806,Carolina Beach State Park,CASH,114452,"JUST HIKE IT, RECTANGLE CABE STICKER",6.08,3000.1601.434150004,PFR Revenues-Other,3/24/2022,,352374633,
3/23/2022,12802806,Carolina Beach State Park,12802806,Carolina Beach State Park,CASH,164256,SODA,0.26,2000.1601.000211940,sales tax payable,3/24/2022,,352374633,
3/23/2022,12802806,Carolina Beach State Park,12802806,Carolina Beach State Park,CASH,164256,SODA,3.74,3000.1601.434150004,PFR Revenues-Other,3/24/2022,,352374633,
3/23/2022,12802806,Carolina Beach State Park,12802806,Carolina Beach State Park,VISA,1159,74,0,3000.1601.434410003,campsite rentals,1/26/2022,348100787,,
3/23/2022,12802806,Carolina Beach State Park,12802806,Carolina Beach State Park,VISA,1159,74,0,3000.1601.435900001,CRS Vendor Fees (Transaction Fees),1/26/2022,348100787,,
3/23/2022,12802806,Carolina Beach State Park,12802806,Carolina Beach State Park,VISA,1032,11,-3,3000.1601.434410003,campsite rentals,3/22/2022,352282947,,
3/23/2022,12802806,Carolina Beach State Park,12802806,Carolina Beach State Park,VISA,1032,11,3,3000.1601.435900001,CRS Vendor Fees (Transaction Fees),3/22/2022,352282947,,
3/23/2022,12802806,Carolina Beach State Park,12802806,Carolina Beach State Park,DISC,77902,VC Postcards,0.26,2000.1601.000211940,sales tax payable,3/23/2022,352358611,,
3/23/2022,12802806,Carolina Beach State Park,12802806,Carolina Beach State Park,DISC,77902,VC Postcards,3.72,3000.1601.434150004,PFR Revenues-Other,3/23/2022,352358611,,
