<a href="../../opendoc/openDocument.jsp?iDocID=klUIcZcACRyJMCYATwIAISg1r4Y&sIDType=CUID&sType=pdf&sWindow=Same" title="Link to B0149 Report Description" target="_self" nav="doc">B0149: Positions by Funding Source as of AUG 2022</a>

Execution Date: 8/2/22

Org Unit	Org Unit Desc	Position	Position Desc	Applcn of Fund	Fund	Funding Source	Cost Center	Valid From	Valid To	Fund %	Budgeted Amount	Salaried Amount	Difference Budget Amt & Salary Amt	 PT FTE Positions	 FT FTE Positions	Total FTE Positions
21022527	NCR NAT DPR Parks & Recreation	60032778	State Parks Director	14800	461680001	Appropriated	4650400000	7/1/22	12/31/99	88.33	141,674.00	141,674.25	-0.25		0.883	0.883
21022527	NCR NAT DPR Parks & Recreation	60032778	State Parks Director	14800	461680005	Receipts	4650400000	7/1/22	12/31/99	11.67	18,718.00	18,717.75	0.25		0.117	0.117
21022527	NCR NAT DPR Parks & Recreation	65025651	Boards and Commissions Member	14800	469999999	Undesignated	4657000000	6/1/17	12/31/99	100.00	100.00	0.00	100.00	1.000		1.000
21022527	NCR NAT DPR Parks & Recreation	65025652	Boards and Commissions Member	14800	461680001	Appropriated	4657000000	6/1/17	12/31/99	100.00	100.00	0.00	100.00	1.000		1.000
21022527	NCR NAT DPR Parks & Recreation	65025653	Boards and Commissions Member	14800	461680001	Appropriated	4657000000	6/1/17	12/31/99	100.00	100.00	0.00	100.00	1.000		1.000
21022527	NCR NAT DPR Parks & Recreation	65025654	Boards and Commissions Member	14800	461680001	Appropriated	4657000000	6/1/17	12/31/99	100.00	100.00	0.00	100.00	1.000		1.000
21022527	NCR NAT DPR Parks & Recreation	65025655	Boards and Commissions Member	14800	461680001	Appropriated	4657000000	6/1/17	12/31/99	100.00	100.00	0.00	100.00	1.000		1.000
21022527	NCR NAT DPR Parks & Recreation	65025656	Boards and Commissions Member	14800	461680001	Appropriated	4657000000	6/1/17	12/31/99	100.00	100.00	0.00	100.00	1.000		1.000
21022527	NCR NAT DPR Parks & Recreation	65025657	Boards and Commissions Member	14800	461680001	Appropriated	4657000000	6/1/17	12/31/99	100.00	100.00	0.00	100.00	1.000		1.000
21022527	NCR NAT DPR Parks & Recreation	65025658	Boards and Commissions Member	14800	461680001	Appropriated	4657000000	6/1/17	12/31/99	100.00	100.00	0.00	100.00	1.000		1.000
21022527	NCR NAT DPR Parks & Recreation	65025659	Boards and Commissions Member	14800	461680001	Appropriated	4657000000	6/1/17	12/31/99	100.00	100.00	0.00	100.00	1.000		1.000
21022711	NCR NAT DPR ADMIN DO Executive Office	60032784	Executive Assistant I	14800	461680001	Appropriated	4650400000	7/1/21	12/31/99	100.00	53,116.00	0.00	53,116.00		1.000	1.000
21022711	NCR NAT DPR ADMIN DO Executive Office	60033138	Administrative Associate II	14800	461680005	Receipts	4650400000	7/1/22	12/31/99	100.00	34,776.00	34,776.00	0.00		1.000	1.000
21022711	NCR NAT DPR ADMIN DO Executive Office	60096110	AdminSpec1*GN06	14800	461680005	Receipts	4657200000	4/1/22	12/31/99	100.00	5,000.00	52,000.00	-47,000.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60032780	Environmental Program Supervisor I	14800	461680001	Appropriated	4656000000	7/1/22	12/31/99	100.00	71,753.00	71,753.00	0.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60032875	Parks District Interpretation & Ed Spec	14800	461680001	Appropriated	4654100000	7/1/22	12/31/99	100.00	51,046.00	51,046.00	0.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60032877	Museum Curator II	14800	461680001	Appropriated	4651000000	7/1/22	12/31/99	100.00	54,345.00	54,345.00	0.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60032907	Parks District Interpretation & Ed Spec	14800	461680001	Appropriated	4653100000	7/1/22	12/31/99	100.00	46,525.00	46,525.00	0.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60033018	Superintendent Of State Parks	14800	461680005	Receipts	4650800000	7/1/22	12/31/99	100.00	97,850.00	97,850.00	0.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60033135	Parks District Interpretation & Ed Spec	14800	461680005	Receipts	4656900000	7/1/22	12/31/99	100.00	46,618.00	46,618.00	0.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60033148	Administrative Specialist II	14800	461680001	Appropriated	4656900000	7/1/22	12/31/99	100.00	45,854.00	45,854.00	0.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60092637	Museum Curator II	14800	461680001	Appropriated	4657400000	7/1/22	12/31/99	100.00	49,919.00	49,919.00	0.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60093911	MusmTech1*GN05	14800	461680001	Appropriated	4657000000	7/1/15	12/31/99	100.00	7,727.00	29,120.00	-21,393.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60093917	GUW*GN04	14800	461680001	Appropriated	4657000000	7/1/15	12/31/99	100.00	7,197.00	29,120.00	-21,923.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60093922	AdminAssoc1*GN03	14800	461680001	Appropriated	4657000000	7/1/15	12/31/99	100.00	4,458.00	29,120.00	-24,662.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60093940	MusmTech1*GN05	14800	461680001	Appropriated	4657000000	7/1/15	12/31/99	100.00	7,727.00	29,120.00	-21,393.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60093946	MusmTech1*GN05	14800	461680001	Appropriated	4657000000	7/1/15	12/31/99	100.00	7,197.00	29,120.00	-21,923.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60093947	MusmTech1*GN05	14800	461680001	Appropriated	4657000000	7/1/15	12/31/99	100.00	7,197.00	29,120.00	-21,923.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60093967	AdminAssoc1*GN03	14800	461680001	Appropriated	4657000000	7/1/15	12/31/99	100.00	2,362.00	29,120.00	-26,758.00		0.400	0.400
21022712	NCR NAT DPR DO LE Directors Office	60095865	UserSupTech1*IT01	14800	461680005	Receipts	4650800000	4/7/18	12/31/99	100.00	46,093.00	0.00	46,093.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60096026	MusmCur1*GN10	14800	461680005	Receipts	4650400000	10/1/16	12/31/99	100.00	31,200.00	0.00	31,200.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60096048	GUW*GN04	14800	461680001	Appropriated	4653200000	7/1/15	12/31/99	100.00	5,000.00	29,120.00	-24,120.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60096049	AdminAssoc1*GN03	14800	461680005	Receipts	4653200000	10/1/16	12/31/99	100.00	5,000.00	0.00	5,000.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	60096050	MusmCurator2*GN11	14800	461680005	Receipts	4653200000	4/7/18	12/31/99	100.00	33,280.00	0.00	33,280.00		1.000	1.000
21022712	NCR NAT DPR DO LE Directors Office	65029150	Arts Program Administrator	14800	461680005	Receipts	4656900000	7/1/22	12/31/99	100.00	51,160.00	51,160.00	0.00		1.000	1.000
21022713	NCR NAT DPR DO ADMIN Deputy Director Off	60032793	Accounting Specialist	14800	461680001	Appropriated	4657400000	7/1/20	12/31/99	100.00	51,319.00	0.00	51,319.00		1.000	1.000
21022713	NCR NAT DPR DO ADMIN Deputy Director Off	60033042	Community Planner II	14800	461680001	Appropriated	4657400000	7/1/22	12/31/99	100.00	54,229.00	54,229.00	0.00		1.000	1.000
21022713	NCR NAT DPR DO ADMIN Deputy Director Off	60033202	Business Manager I	14800	461680001	Appropriated	4650400000	7/1/22	12/31/99	100.00	97,424.00	97,424.00	0.00		1.000	1.000
21022714	NCR NAT DPR ADMIN ADO Budget 1	60032781	Budget Analyst I	14800	461680001	Appropriated	4650400000	7/1/22	12/31/99	100.00	72,270.00	72,270.00	0.00		1.000	1.000
21022714	NCR NAT DPR ADMIN ADO Budget 1	60032997	Accounting Clerk II	14800	461680001	Appropriated	4650400000	7/1/22	12/31/99	100.00	42,477.00	42,477.00	0.00		1.000	1.000
21022714	NCR NAT DPR ADMIN ADO Budget 1	60036015	Accounting Clerk II	14800	461680001	Appropriated	4650400000	7/1/22	12/31/99	100.00	42,849.00	42,849.00	0.00		1.000	1.000
21022714	NCR NAT DPR ADMIN ADO Budget 1	60096024	AcctgClerk1*GN05	14800	461680005	Receipts	4650400000	10/1/16	12/31/99	100.00	5,000.00	0.00	5,000.00		1.000	1.000
21022714	NCR NAT DPR ADMIN ADO Budget 1	65032827	Accounting Technician I	14800	461680005	Receipts	4650400000	7/1/22	12/31/99	100.00	43,906.00	43,906.00	0.00		1.000	1.000
21022719	NCR NAT DPR DO Facility Maint	60032852	Maintenance/Construction Technician III	14800	461680001	Appropriated	4653200000	7/1/22	12/31/99	100.00	39,979.00	39,979.00	0.00		1.000	1.000
21022719	NCR NAT DPR DO Facility Maint	60032956	Maintenance/Construction Supervisor III	14800	461680001	Appropriated	4653100000	7/1/22	12/31/99	100.00	52,469.00	52,469.00	0.00		1.000	1.000
21022719	NCR NAT DPR DO Facility Maint	60032957	Maintenance/Construction Supervisor III	14800	461680001	Appropriated	4651200000	7/1/22	12/31/99	100.00	52,256.00	52,256.00	0.00		1.000	1.000
21022719	NCR NAT DPR DO Facility Maint	60032958	Maintenance/Construction Supervisor III	14800	461680001	Appropriated	4654100000	7/1/22	12/31/99	100.00	49,016.00	49,016.00	0.00		1.000	1.000
21022719	NCR NAT DPR DO Facility Maint	60032977	Maintenance/Construction Supervisor III	14800	461680001	Appropriated	4656900000	7/1/22	12/31/99	100.00	51,497.00	51,497.00	0.00		1.000	1.000
21022719	NCR NAT DPR DO Facility Maint	60033012	Maintenance/Construction Project Manager	14800	461680001	Appropriated	4650800000	7/1/22	12/31/99	100.00	76,257.00	76,257.00	0.00		1.000	1.000
21022719	NCR NAT DPR DO Facility Maint	65020598	Maintenance/Construction Supervisor III	14800	461680001	Appropriated	4650800000	7/1/22	12/31/99	100.00	58,499.00	58,499.00	0.00		1.000	1.000
21022719	NCR NAT DPR DO Facility Maint	65020599	Maintenance/Construction Supervisor III	14800	461680001	Appropriated	4650800000	7/1/22	12/31/99	100.00	55,537.00	55,537.00	0.00		1.000	1.000
21022719	NCR NAT DPR DO Facility Maint	65027688	Administrative Specialist I	14800	461680005	Receipts	4650800000	7/1/22	12/31/99	100.00	39,276.00	39,276.00	0.00		1.000	1.000
21022722	NCR NAT DPR DO LE Mgrs Ofc	60032881	Electronics Technician II	14800	461680001	Appropriated	4656100000	7/1/20	12/31/99	100.00	43,971.00	0.00	43,971.00		1.000	1.000
21022722	NCR NAT DPR DO LE Mgrs Ofc	60033146	Parks Regional Superintendent	14800	461680001	Appropriated	4656100000	7/1/22	12/31/99	100.00	70,429.00	70,429.00	0.00		1.000	1.000
21022722	NCR NAT DPR DO LE Mgrs Ofc	60033165	Parks Regional Superintendent	14800	461680001	Appropriated	4656100000	7/1/22	12/31/99	100.00	81,478.00	81,478.00	0.00		1.000	1.000
21022722	NCR NAT DPR DO LE Mgrs Ofc	65026481	Park Ranger I	14800	461320001	Appropriated	4610000000	7/1/22	12/31/99	100.00	38,530.00	38,530.00	0.00		1.000	1.000
21022722	NCR NAT DPR DO LE Mgrs Ofc	65026482	Park Ranger II	14800	461320001	Appropriated	4610000000	7/1/22	12/31/99	100.00	46,814.00	46,814.00	0.00		1.000	1.000
21022722	NCR NAT DPR DO LE Mgrs Ofc	65026483	Park Ranger I	14800	461320001	Appropriated	4610000000	7/1/20	12/31/99	100.00	36,319.00	0.00	36,319.00		1.000	1.000
21022722	NCR NAT DPR DO LE Mgrs Ofc	65026825	Park Ranger I	14800	461320001	Appropriated	4610000000	7/1/20	12/31/99	100.00	37,227.00	0.00	37,227.00		1.000	1.000
21022722	NCR NAT DPR DO LE Mgrs Ofc	65026826	Park Ranger I	14800	461320001	Appropriated	4610000000	7/1/21	12/31/99	100.00	38,158.00	0.00	38,158.00		1.000	1.000
21022723	NCR NAT DPR DO Plan&Nat Design/Develop	60033166	Community Planner III	14800	461680001	Appropriated	4651000000	7/1/22	12/31/99	100.00	75,033.00	75,033.00	0.00		1.000	1.000
21022723	NCR NAT DPR DO Plan&Nat Design/Develop	60092634	Parks Resource Management Specialist	14800	461680001	Appropriated	4657400000	7/1/22	12/31/99	100.00	54,741.00	54,741.00	0.00		1.000	1.000
21022723	NCR NAT DPR DO Plan&Nat Design/Develop	60096022	EnvSpec1*GN09	14800	461680001	Appropriated	4651400000	4/7/18	12/31/99	100.00	33,280.00	35,360.00	-2,080.00		1.000	1.000
21022723	NCR NAT DPR DO Plan&Nat Design/Develop	65026859	Community Planner II	14800	461680005	Receipts	4651000000	7/1/22	12/31/99	100.00	57,981.00	57,981.00	0.00		1.000	1.000
21022723	NCR NAT DPR DO Plan&Nat Design/Develop	65034244	Community Planner II	14800	461680001	Appropriated	4601000000	7/1/21	12/31/99	100.00	68,578.00	0.00	68,578.00		1.000	1.000
21022775	NCR NAT DPR DO ADMIN Facility Planners	60032787	Administrative Specialist II	14800	461680001	Appropriated	4651000000	5/31/22	12/31/99	100.00	33,600.00	0.00	33,600.00		1.000	1.000
21022775	NCR NAT DPR DO ADMIN Facility Planners	60032789	Engineering Technician III	14800	461680001	Appropriated	4651000000	7/1/22	12/31/99	100.00	69,797.00	69,797.00	0.00		1.000	1.000
21022775	NCR NAT DPR DO ADMIN Facility Planners	60032830	Engineering Technician III	14800	461680001	Appropriated	4657400000	7/1/22	12/31/99	100.00	65,172.00	65,172.00	0.00		1.000	1.000
21022775	NCR NAT DPR DO ADMIN Facility Planners	60032833	Maintenance/Construction Proj Mngr II	14800	461680001	Appropriated	4657400000	7/1/22	12/31/99	100.00	93,842.00	93,842.00	0.00		1.000	1.000
21022775	NCR NAT DPR DO ADMIN Facility Planners	60092636	Engineering Technician III	14800	461680001	Appropriated	4657400000	7/1/22	12/31/99	100.00	70,372.00	70,372.00	0.00		1.000	1.000
21022775	NCR NAT DPR DO ADMIN Facility Planners	65027687	Engineering Technician III	14800	461680005	Receipts	4651000000	7/1/22	12/31/99	100.00	68,182.00	68,182.00	0.00		1.000	1.000
21022775	NCR NAT DPR DO ADMIN Facility Planners	65035115	Administrative Specialist I	14800	461680005	Receipts	4622350000	5/1/22	12/31/99	100.00	36,000.00	0.00	36,000.00		1.000	1.000
21022775	NCR NAT DPR DO ADMIN Facility Planners	65035116	Maintenance/Construction Proj Mngr I	14800	461680005	Receipts	4622370000	5/1/22	12/31/99	100.00	90,000.00	0.00	90,000.00		1.000	1.000
21022775	NCR NAT DPR DO ADMIN Facility Planners	65035200	Engineering Technician III	14800	461680005	Receipts	4622350000	5/1/22	12/31/99	100.00	62,000.00	0.00	62,000.00		1.000	1.000
21022775	NCR NAT DPR DO ADMIN Facility Planners	65035201	Engineering Technician III	14800	461680005	Receipts	4622350000	5/1/22	12/31/99	100.00	62,000.00	0.00	62,000.00		1.000	1.000
21022775	NCR NAT DPR DO ADMIN Facility Planners	65035202	Engineering Technician III	14800	461680005	Receipts	4622350000	5/1/22	12/31/99	100.00	62,000.00	0.00	62,000.00		1.000	1.000
21022776	NCR NAT DPR DO Plan&Nat Sec Office	60032794	Accounting Clerk II	14800	461680001	Appropriated	4657400000	7/1/22	12/31/99	100.00	39,091.00	39,091.00	0.00		1.000	1.000
21022776	NCR NAT DPR DO Plan&Nat Sec Office	60033160	Environmental Program Supervisor II	14800	461680001	Appropriated	4657900000	7/1/22	12/31/99	100.00	96,535.00	96,535.00	0.00		1.000	1.000
