Rec'd By	& Date 	Equipment	Brand	Model #	Serial #	FAS #	PO #	Unit	From W/H By:	Date											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V669062	4955099881	EP4705613	FALA	MN to FALA per Bin	7/1/10											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V670181	4955099881	EP4705613	NODI	Rhonda	5/27/10											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V670183	4955099881	EP4705613	CABE	Rhonda	5/27/10											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V670188	4955099881	EP4705613	CABE	Rhonda	5/27/10											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V670190	4955099881	EP4705613	JORD	Rhonda	6/30/10											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V670206	4955099881	EP4705613	JORD	Rhonda	6/30/10											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V670209	4955099881	EP4705613	RARO	Rhonda	5/3/10											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V670223	4955099881	EP4705613	RARO	Rhonda	5/3/10											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V670236	4955099881	EP4705613	RARO	Rhonda	5/3/10											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V670245	4955099881	EP4705613	HABE	Rhonda	"7/15, 16"											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V670360	4955099881	EP4705613	SOMO	Rhonda	"7/15, 16"											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V670361	4955099881	EP4705613	ARCH-Marica	Rhonda	"7/15, 16"											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V670363	4955099881	EP4705613	ARCH-Bayard	Rhonda	"7/15, 16"											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V670364	4955099881	EP4705613	ARCH-Ruth	Rhonda	"7/15, 16"											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V670365	4955099881	EP4705613	GRMO	Bin 	6/4/10											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V685675	4955099881	EP4705613	WEDI	Rhonda	5/27/10											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V685681	4955099881	EP4705613	XTRA 	Rhonda	"7/15, 16"											
WAHO	3/9/10	"19"" DT Monitor"	Lenovo	L1951P	V685693	4955099881	EP4705613	XTRA 	Rhonda	"7/15, 16"											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY43	4111209419	EP4705613	FALA	MN to FALA per Bin	7/1/10											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY44	4111209419	EP4705613	NODI	Rhonda	5/27/10											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY45	4111209419	EP4705613	CABE	Rhonda	5/27/10											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY46	4111209419	EP4705613	CABE	Rhonda	5/27/10											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY47	4111209419	EP4705613	JORD	WM & MN to YORK	6/8/10											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY48	4111209419	EP4705613	JORD	WM & MN to YORK	6/8/10											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY49	4111209419	EP4705613	RARO	Rhonda	5/3/10											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY50	4111209419	EP4705613	RARO	Rhonda	5/3/10											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY51	4111209419	EP4705613	RARO	Rhonda	5/3/10											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY52	4111209419	EP4705613	ARCH-Elizabeth	Rhonda	"7/15, 16"											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY53	4111209419	EP4705613	ARCH-John	Rhonda	"7/15, 16"											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY54	4111209419	EP4705613	ARCH-Marica	Rhonda	"7/15, 16"											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY55	4111209419	EP4705613	ARCH-Bayard	Rhonda	"7/15, 16"											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY56	4111209419	EP4705613	ARCH-Ruth	Rhonda	"7/15, 16"											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY57	4111209419	EP4705613	GRMO	Bin 	6/4/10											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY58	4111209419	EP4705613	WEDI	Rhonda	5/27/10											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLY59	4111209419	EP4705613	XTRA 	Rhonda	"7/15, 16"											
WAHO	3/9/10	Desktop	Lenovo	7484B98	MJDLW42	4111209419	EP4705613	XTRA 	Rhonda	"7/15, 16"											
WAHO	3/9/10	"19"" LT Monitor"	Lenovo	L1951P	V670210	4955099467	EP4705687	FOMA	Rhonda	5/7/10											
WAHO	3/9/10	"19"" LT Monitor"	Lenovo	L1951P	V670318	4955099467	EP4705687	FOMA	Rhonda	5/7/10											
WAHO	3/9/10	"19"" LT Monitor"	Lenovo	L1951P	V670319	4955099467	EP4705687	HABE	Rhonda	5/3/10											
WAHO	3/9/10	"19"" LT Monitor"	Lenovo	L1951P	V670321	4955099467	EP4705687	CABE	Rhonda	5/27/10											
WAHO	3/9/10	"19"" LT Monitor"	Lenovo	L1951P	V670325	4955099467	EP4705687	RARO	Rhonda	5/3/10											
WAHO	3/9/10	"19"" LT Monitor"	Lenovo	L1951P	V670329	4955099467	EP4705687	ARCH-Glenn Sheppard	Bin 	3/25/10											
WAHO	3/9/10	"19"" LT Monitor"	Lenovo	L1951P	V670331	4955099467	EP4705687	ARCH-Ed	Rhonda	"7/15, 16"											
WAHO	3/9/10	"19"" LT Monitor"	Lenovo	L1951P	V670333	4955099467	EP4705687	ARCH-Emily	Rhonda	"7/15, 16"											
WAHO	3/9/10	"19"" LT Monitor"	Lenovo	L1951P	V670336	4955099467	EP4705687	ARCH-Jean	Rhonda	5/27/10											
WAHO	3/9/10	"19"" LT Monitor"	Lenovo	L1951P	V670339	4955099467	EP4705687	ADMIN	Rhonda	"7/15, 16"											
WAHO	3/9/10	"19"" LT Monitor"	Lenovo	L1951P	V670342	4955099467	EP4705687	GRMO	Bin 	6/4/10											
WAHO	3/9/10	"19"" LT Monitor"	Lenovo	L1951P	V670343	4955099467	EP4705687	GRMO	Bin 	6/4/10											
WAHO	3/9/10	"19"" LT Monitor"	Lenovo	L1951P	V670347	4955099467	EP4705687	XTRA (D&D)	CM & MN to YORK	5/5/10											
WAHO	3/9/10	"19"" LT Monitor"	Lenovo	L1951P	V670552	4955099467	EP4705687	XTRA 													
WAHO	3/15/10	Laptop	Lenovo	2056VN5	R8485PB	4111207359	EP4705687	FOMA	Bin & Rhonda 	4/19/10											
WAHO	3/15/10	Laptop	Lenovo	2056VN5	R8485NM	4111207359	EP4705687	FOMA	Bin & Rhonda 	4/19/10											
WAHO	3/15/10	Laptop	Lenovo	2056VN5	R8485NL	4111207359	EP4705687	HABE	Bin & Rhonda 	4/19/10											
WAHO	3/15/10	Laptop	Lenovo	2056VN5	R8485NN	4111207359	EP4705687	CABE	Bin & Rhonda 	4/19/10											
WAHO	3/15/10	Laptop	Lenovo	2056VN5	R8485PA	4111207359	EP4705687	RARO	Bin & Rhonda 	4/19/10											
WAHO	3/15/10	Laptop	Lenovo	2056VN5	R8485PC	4111207359	EP4705687	ARCH-Glenn Sheppard	Bin 	3/25/10											
WAHO	3/15/10	Laptop	Lenovo	2056VN5	R8485NR	4111207359	EP4705687	ARCH-Ed	Bin & Rhonda 	4/19/10											
WAHO	3/15/10	Laptop	Lenovo	2056VN5	R8485NW	4111207359	EP4705687	ARCH-Emily	Bin & Rhonda 	4/19/10											
WAHO	3/15/10	Laptop	Lenovo	2056VN5	R8485NX	4111207359	EP4705687	ARCH-Jean	Bin & Rhonda 	4/19/10											
WAHO	3/15/10	Laptop	Lenovo	2056VN5	R8485NY	4111207359	EP4705687	WARO-Steve Moler	Bin & Rhonda 	4/19/10											
WAHO	3/15/10	Laptop	Lenovo	2056VN5	R8485NP	4111207359	EP4705687	GRMO	Bin 	3/25/10											
WAHO	3/15/10	Laptop	Lenovo	2056VN5	R8485NT	4111207359	EP4705687	GRMO	Bin & Rhonda 	4/19/10											
WAHO	3/15/10	Laptop	Lenovo	2056VN5	R8485NV	4111207359	EP4705687	XTRA (D&D)	Bin & Rhonda 	4/19/10											
WAHO	3/15/10	Laptop	Lenovo	2056VN5	R8485NZ	4111207359	EP4705687	XTRA	Bin & Rhonda 	4/19/10											
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
